File,GraphID,Vertices,Edges,Cyclic,Algorithm,Time(ms),Ops,CriticalPathLen
large_1.json,1,24,346,true,SCC,1.489,370,
large_1.json,1,24,346,true,Topo,0.453,0,
large_1.json,1,24,346,true,DAGSP,0.000,0,
large_2.json,2,41,360,false,SCC,0.736,401,
large_2.json,2,41,360,false,Topo,1.169,401,
large_2.json,2,41,360,false,DAGSP,0.040,4347,21.000
large_3.json,3,50,753,true,SCC,1.076,803,
large_3.json,3,50,753,true,Topo,0.426,0,
large_3.json,3,50,753,true,DAGSP,0.000,0,
medium_1.json,4,19,183,true,SCC,0.296,202,
medium_1.json,4,19,183,true,Topo,0.118,0,
medium_1.json,4,19,183,true,DAGSP,0.000,0,
medium_2.json,5,10,31,false,SCC,0.132,41,
medium_2.json,5,10,31,false,Topo,0.093,41,
medium_2.json,5,10,31,false,DAGSP,0.010,109,8.000
medium_3.json,6,12,61,true,SCC,0.127,73,
medium_3.json,6,12,61,true,Topo,0.060,0,
medium_3.json,6,12,61,true,DAGSP,0.000,0,
small_1.json,7,9,21,true,SCC,0.074,30,
small_1.json,7,9,21,true,Topo,0.040,0,
small_1.json,7,9,21,true,DAGSP,0.000,0,
small_2.json,8,10,23,false,SCC,0.049,33,
small_2.json,8,10,23,false,Topo,0.068,33,
small_2.json,8,10,23,false,DAGSP,0.010,64,5.000
small_3.json,9,6,18,true,SCC,0.060,24,
small_3.json,9,6,18,true,Topo,0.034,0,
small_3.json,9,6,18,true,DAGSP,0.000,0,
